Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1021,2024-06-16,2024-06-22,CUST290,Jordan Martinez,Corporate,PROD3584,Bookshelf,Furniture,West,Kentucky,New Paulville,4,2609,5,9914.2,6384.5,3529.7,Net Banking,Cancelled,Hoover Ltd,lgamble@rodriguez.com,8,Yes,33
ORD1022,2025-07-21,2025-07-25,CUST592,Richard Lopez,Consumer,PROD4259,Mouse,Electronics,West,South Dakota,West Theodorebury,7,1273,20,7128.8,4369.33,2759.47,Credit Card,Returned,Hall-Pitts,lopezjill@white-velazquez.info,36,No,0
ORD1023,2026-01-07,2026-01-13,CUST717,Heidi Brown,Corporate,PROD2345,Rice Bag,Grocery,South,Hawaii,Heatherfurt,10,3003,15,25525.5,17361.95,8163.55,Cash,Pending,Garcia-Webb,fchristensen@sanchez.com,37,No,0
ORD1024,2024-05-22,2024-05-28,CUST459,Kayla Nelson,Corporate,PROD3596,Laptop,Electronics,East,South Dakota,New Kevin,6,2738,10,14785.2,12916.23,1868.97,Net Banking,Returned,Garcia LLC,zmclean@wright-kelly.com,38,No,0
ORD1025,2024-02-08,2024-02-14,CUST912,Donna Brown,Consumer,PROD6942,Mouse,Electronics,East,Kansas,Hawkinsmouth,4,1852,15,6296.8,5528.62,768.18,Credit Card,Cancelled,Nash-Jones,matthew60@best.info,24,No,0
ORD1026,2024-12-12,2024-12-19,CUST633,Louis Hall,Consumer,PROD8174,Dining Table,Furniture,East,West Virginia,East Alison,4,3577,5,13592.6,8550.02,5042.58,UPI,Delivered,Best-Zhang,dianatravis@mann.com,50,No,0
ORD1027,2024-04-28,2024-05-03,CUST209,Daniel Soto,Consumer,PROD3053,Headphones,Electronics,West,Hawaii,East Erinmouth,4,4440,20,14208.0,8753.04,5454.96,Net Banking,Returned,"Garcia, Wright and Smith",williamjones@stokes.biz,26,No,0
ORD1028,2024-04-17,2024-04-18,CUST468,Andrea Jackson,Corporate,PROD6877,Sugar,Grocery,East,Maine,East Antonio,8,3141,5,23871.6,19986.53,3885.07,Credit Card,Returned,Williams Group,eric44@williams-hernandez.net,45,No,0
ORD1029,2026-01-19,2026-01-23,CUST257,David Taylor,Hone Office,PROD1300,Cooking Oil,Grocery,North,New Jersey,North Elizabeth,3,2584,15,6589.2,4101.9,2487.3,UPI,Delivered,Adams-Freeman,rachelhunter@garcia-matthews.com,25,No,0
ORD1030,2025-09-23,2025-09-26,CUST166,Whitney Lane,Corporate,PROD6509,Laptop,Electronics,West,Oregon,Meltonburgh,1,570,20,456.0,296.34,159.66,Credit Card,Cancelled,Juarez-Daniels,johnliu@jackson.info,40,No,0
ORD1031,2024-11-03,2024-11-09,CUST711,Juan Cunningham,Hone Office,PROD9065,Sugar,Grocery,North,Washington,North Alicia,9,1859,15,14221.35,10309.31,3912.04,Credit Card,Pending,Santos LLC,kathy86@whitehead.org,22,No,0
ORD1032,2025-12-28,2026-01-04,CUST891,Jose White,Corporate,PROD7450,Snacks,Grocery,North,Virginia,Youngshire,10,2165,0,21650.0,18875.08,2774.92,UPI,Cancelled,"Rivera, Nguyen and Castro",christopher13@dickson-hunt.biz,5,Yes,47
ORD1033,2025-06-05,2025-06-11,CUST928,Kimberly Olson,Corporate,PROD5077,Monniter,Electronics,East,North Carolina,South Tylerfort,2,3844,20,6150.4,4811.82,1338.58,Net Banking,Returned,Yu-Brady,gthomas@lawson-jackson.com,7,Yes,33
ORD1034,2024-04-01,2024-04-06,CUST271,Jeffrey Farrell,Hone Office,PROD1171,Office Chair,Furniture,South,North Carolina,Jordanton,8,424,15,2883.2,1801.46,1081.74,Credit Card,Pending,"Hall, Sawyer and Durham",mooremargaret@bridges.info,49,No,0
ORD1035,2025-08-22,2025-08-28,CUST456,Peter Pennington,Hone Office,PROD2060,Bookshelf,Furniture,North,Wyoming,North Juan,7,3234,5,21506.1,15466.3,6039.8,UPI,Delivered,Kim-Lara,uolson@miller.biz,12,No,0
ORD1036,2024-06-26,2024-06-30,CUST363,Michael Nguyen,Consumer,PROD2261,Bookshelf,Furniture,South,Alabama,West Michaelton,6,811,10,4379.4,3396.59,982.81,Cash,Pending,Patterson-Hoffman,ldouglas@guerrero-peterson.com,29,No,0
ORD1037,2025-04-18,2025-04-22,CUST869,Michael Washington,Hone Office,PROD4939,Sofa,Furniture,East,Pennsylvania,Spencerhaven,7,4643,0,32501.0,24748.76,7752.24,Credit Card,Delivered,Beck-Estrada,davidbrown@smith.org,2,Yes,41
ORD1038,2024-08-24,2024-08-25,CUST408,Christopher Thompson,Consumer,PROD5767,Laptop,Electronics,East,South Dakota,South Michellebury,5,566,20,2264.0,1877.65,386.35,Cash,Returned,Jordan LLC,moraleah@franklin-tanner.biz,38,No,0
ORD1039,2024-12-04,2024-12-07,CUST966,Rachel Brooks,Corporate,PROD8245,Snacks,Grocery,South,North Dakota,Matthewburgh,6,569,10,3072.6,2319.0,753.6,Cash,Pending,Moreno-Ramirez,robinsonmichelle@johnson.com,20,No,0
ORD1040,2025-02-23,2025-02-28,CUST471,Andrew Wright,Consumer,PROD1406,Juice Pack,Grocery,East,Georgia,Ronnieville,8,1664,5,12646.4,9352.89,3293.51,Credit Card,Pending,"Bishop, Daniels and Torres",ryandavenport@palmer.biz,30,No,0
ORD1041,2024-08-24,2024-08-26,CUST139,Rick Stanley,Hone Office,PROD9890,Pen,Office Supplies,South,Wisconsin,Lake Samantha,6,4984,10,26913.6,18884.67,8028.93,Net Banking,Returned,Pennington-Sharp,ykennedy@thompson.com,28,No,0
ORD1042,2024-04-07,2024-04-10,CUST535,Carol Walter,Corporate,PROD9780,Dining Table,Furniture,East,New Jersey,Andersonburgh,6,1133,5,6458.1,5313.58,1144.52,UPI,Pending,Turner PLC,lisa93@morgan-andrews.com,31,No,0
ORD1043,2025-09-18,2025-09-21,CUST665,Julie Hester,Corporate,PROD5615,Pen,Office Supplies,South,Arizona,Fryville,1,1519,10,1367.1,1108.83,258.27,Credit Card,Delivered,Salas Inc,nguyenwilliam@jimenez.org,13,No,0
ORD1044,2024-12-13,2024-12-19,CUST382,Andrew Strickland,Corporate,PROD2988,Pen,Office Supplies,East,Montana,Raymondfurt,9,3977,10,32213.7,19983.72,12229.98,Cash,Returned,Moreno-Morris,fredericklee@rodriguez-cole.com,19,No,0
ORD1045,2025-11-24,2025-11-30,CUST848,Crystal Ellis,Hone Office,PROD3903,Mouse,Electronics,East,Ohio,Lake Erin,4,2865,10,10314.0,7067.31,3246.69,Credit Card,Pending,"Diaz, Smith and Oneal",jlevine@henson-joyce.com,39,No,0
ORD1046,2025-04-22,2025-04-25,CUST132,Denise Anderson DDS,Corporate,PROD1261,Office Chair,Furniture,East,Louisiana,Victoriahaven,10,1504,15,12784.0,7866.56,4917.44,Credit Card,Returned,Mcknight-Williams,wgreen@ward.com,30,No,0
ORD1047,2026-01-06,2026-01-07,CUST479,Kayla Scott DDS,Corporate,PROD9346,Dining Table,Furniture,West,Alabama,Port Carlaburgh,9,942,5,8054.1,6107.92,1946.18,Net Banking,Cancelled,Porter PLC,tstanley@roberts.biz,16,No,0
ORD1048,2025-11-15,2025-11-20,CUST269,Emily Cobb,Hone Office,PROD5123,Headphones,Electronics,South,Tennessee,Courtneyhaven,1,2848,5,2705.6,2066.54,639.06,Net Banking,Delivered,"Hart, Ashley and Jenkins",timothymurray@williams-roberts.net,16,No,0
ORD1049,2024-03-25,2024-03-29,CUST613,Danielle Hamilton,Consumer,PROD3488,Sugar,Grocery,South,Kansas,Kaylamouth,10,253,10,2277.0,1954.41,322.59,Cash,Pending,"Sutton, Wright and Roberts",hoganmichael@garcia.info,38,No,0
ORD1050,2024-03-12,2024-03-16,CUST290,Christina Solis,Corporate,PROD9530,Pen,Office Supplies,North,Arizona,North Tracyville,3,4059,15,10350.45,7699.39,2651.06,UPI,Delivered,Norman-Torres,rodgersnicole@newton.info,17,No,0
ORD1051,2025-12-14,2025-12-15,CUST526,Jordan Sanders,Corporate,PROD9441,Cooking Oil,Grocery,West,New Mexico,West Edward,4,4213,5,16009.4,10382.79,5626.61,Credit Card,Cancelled,"Smith, Wilkerson and Holland",ulucas@rodriguez-garcia.biz,26,No,0
ORD1052,2025-02-15,2025-02-18,CUST696,Vincent Schwartz,Consumer,PROD2151,Sofa,Furniture,South,Vermont,South Tiffany,7,2915,10,18364.5,14298.89,4065.61,Net Banking,Delivered,Adams Group,jason47@nelson.biz,16,No,0
ORD1053,2024-06-24,2024-07-01,CUST171,Denise Porter,Corporate,PROD7663,Monniter,Electronics,South,Michigan,East Tyler,8,3590,0,28720.0,20276.24,8443.76,Credit Card,Returned,Andrews-Rivas,nancy66@hansen-costa.com,30,No,0
ORD1054,2024-10-13,2024-10-16,CUST614,Kevin Snyder,Consumer,PROD1187,Monniter,Electronics,West,New Hampshire,West Heatherland,3,498,0,1494.0,1316.31,177.69,Net Banking,Returned,Tran-Martin,stacey26@cook-wright.com,43,No,0
ORD1055,2025-04-18,2025-04-24,CUST340,Veronica Phillips,Consumer,PROD2795,Juice Pack,Grocery,East,Maine,Joneschester,2,3813,15,6482.1,5217.43,1264.67,Credit Card,Delivered,Blake PLC,spearscindy@cole.biz,13,No,0
ORD1056,2025-09-15,2025-09-20,CUST305,Carlos Nicholson,Corporate,PROD5983,Notebook,Office Supplies,South,Maine,Ramirezmouth,7,4779,10,30107.7,24477.27,5630.43,Credit Card,Delivered,Green LLC,adam97@james.org,13,No,0
ORD1057,2025-12-31,2026-01-05,CUST145,Kenneth Stevenson,Hone Office,PROD9221,Snacks,Grocery,East,Oregon,Duncanchester,7,1796,10,11314.8,8761.73,2553.07,UPI,Cancelled,Bauer-Roy,gregory74@bradshaw-long.net,8,Yes,49
ORD1058,2024-06-10,2024-06-11,CUST362,Victoria Medina,Hone Office,PROD7477,File Folder,Office Supplies,West,Montana,Stevensport,9,3647,0,32823.0,22522.02,10300.98,Credit Card,Cancelled,Boyd-Gonzalez,joelhenderson@carey.com,10,No,0
ORD1059,2025-05-06,2025-05-13,CUST731,Bridget Williams,Consumer,PROD6816,Bookshelf,Furniture,West,North Dakota,Port Michael,1,1403,10,1262.7,833.31,429.39,Credit Card,Pending,"Peterson, Brown and Nichols",chadking@martin.com,13,No,0
ORD1060,2024-06-27,2024-07-02,CUST212,Alvin Sloan,Hone Office,PROD1867,Sugar,Grocery,East,Missouri,Hawkinstown,5,1092,5,5187.0,4341.31,845.69,Cash,Cancelled,"Stewart, Collier and Goodwin",taylor17@williamson-howard.info,14,No,0
ORD1061,2025-07-30,2025-08-06,CUST908,Debra Scott,Corporate,PROD5707,Sofa,Furniture,East,Wisconsin,Johnsonberg,8,4599,10,33112.8,28589.4,4523.4,Cash,Returned,"Guerrero, Martin and Miller",chandlercharles@davenport.com,27,No,0
ORD1062,2024-12-08,2024-12-10,CUST617,James Ochoa,Consumer,PROD7286,Office Chair,Furniture,West,Nevada,Jenniferbury,7,4263,5,28348.95,19431.07,8917.88,Cash,Returned,"Ruiz, Collins and Keller",vkramer@schmidt.info,40,No,0
ORD1063,2025-07-18,2025-07-20,CUST986,Carol West,Hone Office,PROD7093,Office Chair,Furniture,East,Tennessee,New Michaelstad,1,2831,5,2689.45,1871.24,818.21,Net Banking,Returned,Turner-Morris,perkinsjason@baker.com,17,No,0
ORD1064,2024-07-06,2024-07-11,CUST248,Toni Mendoza,Consumer,PROD6941,Keyboard,Electronics,North,Washington,Lisaland,8,1931,20,12358.4,7770.11,4588.29,Net Banking,Cancelled,Lee and Sons,lhood@hughes.net,12,No,0
ORD1065,2025-02-10,2025-02-16,CUST400,Sandra Sexton,Corporate,PROD6087,Stapler,Office Supplies,South,California,Susanport,7,1423,5,9462.95,6029.27,3433.68,Credit Card,Pending,"Mills, Harvey and Hunter",riverakaren@moore.com,47,No,0
ORD1066,2024-06-05,2024-06-10,CUST259,Clayton Mendez,Hone Office,PROD5359,Snacks,Grocery,East,North Dakota,East Michael,6,4216,0,25296.0,21845.62,3450.38,Credit Card,Delivered,"Simpson, Cuevas and Fuller",yterry@pham.com,33,No,0
ORD1067,2025-07-09,2025-07-10,CUST793,Sherry Burke,Hone Office,PROD4550,Office Chair,Furniture,West,Iowa,North David,3,1221,0,3663.0,2800.57,862.43,Credit Card,Cancelled,"Martin, Steele and Harris",qwheeler@davis-rogers.com,23,No,0
ORD1068,2024-06-15,2024-06-16,CUST686,Lauren Barrett,Consumer,PROD7226,Stapler,Office Supplies,East,West Virginia,Solisburgh,6,2713,15,13836.3,10629.17,3207.13,UPI,Returned,"Dunlap, Martinez and Hudson",kevin11@collins-davis.com,18,No,0
ORD1069,2026-01-24,2026-01-30,CUST769,David Johnson,Hone Office,PROD9608,Notebook,Office Supplies,North,Michigan,North Jennifer,8,1781,5,13535.6,8271.23,5264.37,Credit Card,Cancelled,Ruiz-Wright,jessicastewart@hughes.biz,15,No,0
ORD1070,2025-09-11,2025-09-17,CUST569,Jennifer Taylor,Hone Office,PROD5148,Sugar,Grocery,West,Colorado,New Timothyside,3,4635,0,13905.0,11472.57,2432.43,Net Banking,Cancelled,Olsen Group,mtownsend@mason-ramos.com,24,No,0
ORD1071,2024-10-30,2024-11-02,CUST962,Laura Boyd,Consumer,PROD8405,Pen,Office Supplies,North,Indiana,Port Jessicaville,5,3497,0,17485.0,10936.53,6548.47,UPI,Returned,"Walters, Patel and Lucero",hendersonmichael@walker-long.biz,37,No,0
ORD1072,2025-06-05,2025-06-08,CUST497,Sonya Hill,Consumer,PROD9685,Juice Pack,Grocery,East,Wyoming,Antoniomouth,2,3797,10,6834.6,5222.05,1612.55,Net Banking,Returned,Gonzales-Peterson,jimeneztonya@jordan.com,40,No,0
ORD1073,2024-09-27,2024-10-03,CUST448,Marcus Hall,Corporate,PROD8754,Mouse,Electronics,West,Iowa,Lake Christineberg,4,283,5,1075.4,778.52,296.88,UPI,Delivered,Shields LLC,mcarey@monroe.com,38,No,0
ORD1074,2025-05-08,2025-05-11,CUST621,Sabrina Harris,Hone Office,PROD7243,Calculator,Office Supplies,North,Louisiana,North Amyport,7,790,10,4977.0,4465.15,511.85,UPI,Returned,Thomas-Porter,april99@newman.com,48,No,0
ORD1075,2024-11-27,2024-12-03,CUST817,Shelly Sanchez,Corporate,PROD1258,Stapler,Office Supplies,East,Kentucky,North David,7,1282,20,7179.2,4583.08,2596.12,UPI,Pending,Martinez LLC,michellethompson@roy.com,5,Yes,30
ORD1076,2025-10-15,2025-10-18,CUST880,Christopher Clark,Consumer,PROD5151,Calculator,Office Supplies,East,Rhode Island,South Justin,8,2298,20,14707.2,9967.22,4739.98,Net Banking,Delivered,"Williamson, Lane and Jones",aaronbranch@allen-parrish.com,36,No,0
ORD1077,2025-12-03,2025-12-08,CUST455,Michael Perez DDS,Hone Office,PROD6574,Laptop,Electronics,East,Massachusetts,Loganmouth,8,4753,0,38024.0,23063.69,14960.31,Credit Card,Delivered,Townsend-Collier,caitlin98@adams-winters.com,30,No,0
ORD1078,2024-08-21,2024-08-22,CUST991,Steven Newman,Corporate,PROD2755,Snacks,Grocery,North,Alaska,Fernandezview,5,4288,15,18224.0,11029.7,7194.3,Credit Card,Returned,Martinez Ltd,ihopkins@holland.com,21,No,0
ORD1079,2025-11-14,2025-11-21,CUST371,Dominique Kirk,Hone Office,PROD2531,Bookshelf,Furniture,West,Georgia,Barrettburgh,6,3961,5,22577.7,17386.5,5191.2,Cash,Delivered,Thomas Ltd,haleycristian@williams.com,40,No,0
ORD1080,2025-07-26,2025-07-30,CUST684,Billy Wilson,Corporate,PROD9324,Calculator,Office Supplies,East,Arizona,Port Keith,9,1128,0,10152.0,6897.61,3254.39,UPI,Cancelled,Simmons Ltd,eric39@allen.info,39,No,0
ORD1081,2025-08-18,2025-08-19,CUST375,Jason Miller,Corporate,PROD9181,Study Table,Furniture,East,Illinois,North Alex,2,4500,20,7200.0,5605.72,1594.28,Net Banking,Pending,Powell PLC,mccormickamanda@evans.com,40,No,0
ORD1082,2024-10-09,2024-10-16,CUST817,Regina Jacobs,Corporate,PROD2695,Cooking Oil,Grocery,East,Kansas,Jordanbury,4,4971,15,16901.4,11645.03,5256.37,UPI,Cancelled,Kline Ltd,christian51@valentine.com,14,No,0
ORD1083,2026-01-10,2026-01-13,CUST519,Ann Martinez,Hone Office,PROD9008,Notebook,Office Supplies,West,Idaho,North Lucaschester,10,1463,5,13898.5,11403.76,2494.74,Cash,Delivered,Garcia Ltd,erinmueller@harris-nichols.com,48,No,0
ORD1084,2024-02-22,2024-02-23,CUST214,Christopher Conner,Hone Office,PROD8877,Keyboard,Electronics,South,Mississippi,Zacharyside,4,2615,0,10460.0,6567.81,3892.19,Net Banking,Delivered,"Wood, Brown and Jennings",donnalewis@ortiz.com,25,No,0
ORD1085,2025-08-12,2025-08-14,CUST940,David Mcdonald,Corporate,PROD4488,Study Table,Furniture,South,Idaho,South Markfurt,7,3069,0,21483.0,14220.49,7262.51,UPI,Cancelled,"Lewis, Liu and Green",isaiahyoung@brady.com,9,Yes,36
ORD1086,2024-05-09,2024-05-16,CUST644,Michael Hernandez,Consumer,PROD1811,Laptop,Electronics,North,New Hampshire,Dawnside,5,3440,10,15480.0,13273.25,2206.75,UPI,Delivered,Santos Inc,hannah95@cameron.biz,5,Yes,31
ORD1087,2024-02-02,2024-02-07,CUST362,William Baker,Consumer,PROD9264,Dining Table,Furniture,East,Florida,Port Joshuatown,10,764,20,6112.0,4207.92,1904.08,UPI,Pending,Wade Ltd,chavezjames@johnson.info,5,Yes,30
ORD1088,2024-05-18,2024-05-23,CUST348,Emily Bell,Hone Office,PROD1853,Headphones,Electronics,South,Nevada,Valerieborough,8,3756,10,27043.2,22321.23,4721.97,Credit Card,Cancelled,"Steele, Bright and Hicks",michael02@mason-logan.com,2,Yes,40
ORD1089,2024-06-21,2024-06-22,CUST636,Brian Kim,Corporate,PROD1501,Office Chair,Furniture,South,New Jersey,Maryland,6,1695,0,10170.0,8797.86,1372.14,Net Banking,Returned,"Lopez, Walker and Johnson",colemankyle@berry.com,37,No,0
ORD1090,2024-03-09,2024-03-14,CUST957,Hannah Cunningham,Consumer,PROD4620,Snacks,Grocery,East,West Virginia,Hartfort,3,942,15,2402.1,1739.45,662.65,Net Banking,Cancelled,Thompson-Schultz,bianca89@peters-smith.com,22,No,0
ORD1091,2026-01-26,2026-01-30,CUST736,Erica Hayes,Corporate,PROD2862,Headphones,Electronics,North,Illinois,South Scottview,2,2628,5,4993.2,3561.11,1432.09,UPI,Cancelled,Adams Group,glowe@lee-thompson.com,38,No,0
ORD1092,2024-02-09,2024-02-11,CUST780,Ian Hopkins,Corporate,PROD6756,Notebook,Office Supplies,North,Hawaii,New Jeffrey,2,883,20,1412.8,1233.22,179.58,UPI,Pending,White-Kennedy,williamsalexis@ward-cook.com,5,Yes,36
ORD1093,2025-12-25,2025-12-26,CUST689,Mr. Kevin Huynh,Consumer,PROD6353,Dining Table,Furniture,East,Missouri,Rodneyburgh,10,3508,5,33326.0,20435.15,12890.85,Net Banking,Cancelled,Becker-Burton,pamela93@valdez-valdez.info,47,No,0
ORD1094,2024-11-26,2024-11-29,CUST103,Edwin Krause,Consumer,PROD3658,Juice Pack,Grocery,East,Mississippi,New Danny,4,3221,10,11595.6,7763.94,3831.66,Credit Card,Pending,Meadows-Jones,beckergrace@taylor-lowe.com,40,No,0
ORD1095,2026-01-30,2026-02-04,CUST700,Robert Smith,Consumer,PROD1942,Laptop,Electronics,South,Nebraska,Scottland,5,4377,20,17508.0,15224.46,2283.54,Credit Card,Cancelled,"Barnes, Perry and Lopez",theresa68@browning-jones.com,48,No,0
ORD1096,2025-12-09,2025-12-14,CUST650,Bobby Smith,Consumer,PROD9453,Monniter,Electronics,West,Florida,Timothyfort,4,2308,5,8770.4,7744.12,1026.28,UPI,Pending,"Obrien, Graham and James",andrewwatson@ferrell-gonzalez.biz,19,No,0
ORD1097,2024-10-11,2024-10-14,CUST981,Melissa Warner,Consumer,PROD3767,Notebook,Office Supplies,East,Kentucky,Kevinfurt,9,600,20,4320.0,3011.14,1308.86,Net Banking,Pending,"Fowler, Lewis and Becker",cvazquez@leonard.com,50,No,0
ORD1098,2025-04-07,2025-04-10,CUST197,Lisa Hernandez,Hone Office,PROD6409,Rice Bag,Grocery,South,Connecticut,Elizabethshire,6,1991,5,11348.7,7520.1,3828.6,Net Banking,Cancelled,Gonzalez Inc,vwells@davis-buchanan.info,8,Yes,29
ORD1099,2025-10-13,2025-10-20,CUST853,Gabrielle Johnston,Consumer,PROD4666,Rice Bag,Grocery,West,Pennsylvania,Philipport,7,237,5,1576.05,1278.88,297.17,UPI,Delivered,Zhang PLC,eric67@kelly-horn.info,40,No,0
ORD1100,2024-05-09,2024-05-14,CUST135,Tiffany Austin,Corporate,PROD2327,Keyboard,Electronics,North,Colorado,Davidton,3,4535,15,11564.25,7836.96,3727.29,Credit Card,Delivered,Griffith Ltd,joseph52@black.com,27,No,0
ORD1101,2024-08-08,2024-08-13,CUST849,Michelle Mcgee,Hone Office,PROD1796,Notebook,Office Supplies,North,Minnesota,Alexisbury,3,1866,0,5598.0,4676.71,921.29,Net Banking,Delivered,Deleon and Sons,hilltommy@smith.net,38,No,0
ORD1102,2024-08-15,2024-08-16,CUST234,Cristian Hill,Consumer,PROD2350,Office Chair,Furniture,East,North Dakota,New Shawnport,6,3346,0,20076.0,15438.4,4637.6,Credit Card,Pending,"Shea, Murphy and Wright",colleenkaufman@spencer-haney.com,16,No,0
ORD1103,2024-08-01,2024-08-05,CUST554,Amber Miller,Consumer,PROD3505,Office Chair,Furniture,South,Missouri,Antonioland,3,200,15,510.0,353.58,156.42,Credit Card,Cancelled,"Livingston, Schmidt and Sanchez",samantha65@mcdaniel.biz,34,No,0
